problem,rows,cols,original_rows,original_cols,nonzeros,sparsity,simplex_iterations,simplex_time,simplex_feasible,simplex_status,highs_iterations,highs_simplex_iterations,highs_time,highs_feasible,highs_status,highs_agrees_with_simplex,iam1_iterations,iam1_time,iam1_feasible,iam1_status,iam1_agrees_with_simplex,pan_row_scaled_iterations,pan_row_scaled_time,pan_row_scaled_feasible,pan_row_scaled_status,pan_row_scaled_agrees_with_simplex,simplex_agrees_with_highs,iam1_agrees_with_highs,pan_row_scaled_agrees_with_highs
NAME          LOTFI,241,301,153,366,1994,0.027487903392564204,410,8.835559368133545,True,feasible,178,178,0.016613245010375977,True,feasible,True,358,2.896291971206665,True,feasible,True,6000,29.635467529296875,False,max_iterations,False,True,True,False
NAME          AGG,518,157,488,615,2656,0.032658682340211,0,0.0,True,feasible,0,0,0.017804861068725586,True,feasible,True,0,0.012984752655029297,True,feasible,True,1,0.016584157943725586,True,feasible,True,True,True,True
NAME          BRANDY,373,236,220,303,3591,0.04079383832416958,98,2.881467580795288,False,infeasible,41,41,0.010959863662719727,False,infeasible,True,22,0.15517592430114746,False,infeasible,True,20,0.1722550392150879,False,infeasible,True,True,True,True
NAME          SCTAP1,300,360,300,660,1572,0.014555555555555556,0,0.0,True,feasible,0,0,0.0,True,feasible,True,0,0.004477500915527344,True,feasible,True,1,0.013778209686279297,True,feasible,True,True,True,True
NAME          SCSD1,144,750,77,760,4418,0.040907407407407406,71,0.9088544845581055,True,feasible,25,25,0.010006904602050781,True,feasible,True,10,0.09354686737060547,True,feasible,True,71,0.6058502197265625,True,feasible,True,True,True,True
NAME          BANDM,456,318,305,472,3234,0.022302217808672625,494,34.929970026016235,True,feasible,251,251,0.022254467010498047,True,feasible,True,443,7.218144178390503,True,feasible,True,6000,89.3746554851532,False,max_iterations,False,True,True,False
NAME          AGG2,566,292,516,758,4729,0.028613437242848153,56,3.8377468585968018,True,feasible,42,42,0.010468006134033203,True,feasible,True,61,0.7170500755310059,True,feasible,True,57,0.6204943656921387,True,feasible,True,True,True,True
NAME          AGG3,566,292,516,758,4759,0.028794956193426594,37,3.0172770023345947,True,feasible,37,37,0.014127731323242188,True,feasible,True,76,0.8684990406036377,True,feasible,True,39,0.38445329666137695,True,feasible,True,True,True,True
NAME          SCFXM1,498,438,330,600,3738,0.017137041315948728,271,13.588813781738281,False,infeasible,51,51,0.0,False,infeasible,True,64,1.048494577407837,False,infeasible,True,91,1.2809712886810303,False,infeasible,True,True,True,True
NAME          SCORPION,668,358,388,466,2526,0.010562673535610344,0,0.0,True,feasible,0,0,0.014011859893798828,True,feasible,True,0,0.03127002716064453,True,feasible,True,1,0.03124713897705078,True,feasible,True,True,True,True
NAME          SCAGR25,667,396,471,671,2173,0.00822694713249436,517,56.900957107543945,True,feasible,356,356,0.022555828094482422,True,feasible,True,498,9.183778285980225,True,feasible,True,6000,155.15984177589417,False,max_iterations,False,True,True,False
NAME          DEGEN2,662,531,444,757,5122,0.014570923014775746,6000,713.1626965999603,False,max_iterations,582,582,0.043306827545166016,True,feasible,False,527,17.775045156478882,True,feasible,False,1257,38.85960388183594,True,feasible,False,False,True,True
NAME          SCSD6,286,1342,147,1350,8408,0.02190655841922608,93,3.69948148727417,True,feasible,178,178,0.03775501251220703,True,feasible,True,140,4.979649066925049,True,feasible,True,159,5.793408632278442,True,feasible,True,True,True,True
NAME          FFFFF800,866,846,524,1028,10730,0.014645744953837922,379,58.73395657539368,False,infeasible,196,196,0.04043865203857422,False,infeasible,True,54,3.2697970867156982,False,infeasible,True,8,0.5298089981079102,False,infeasible,True,True,True,True
NAME          SCFXM2,996,876,660,1200,7486,0.008579982028570904,692,137.21076846122742,False,infeasible,91,91,0.04724907875061035,False,infeasible,True,121,7.813572406768799,False,infeasible,True,91,6.886766672134399,False,infeasible,True,True,True,True
NAME          SCRS8,809,1104,490,1275,5497,0.00615471775854965,1517,229.90623712539673,False,infeasible,41,41,0.04236578941345215,False,infeasible,True,65,4.233036994934082,False,infeasible,True,56,4.244693756103516,False,infeasible,True,True,True,True
NAME          MODSZK1,857,1105,687,1622,3760,0.003970495836787278,0,0.0,True,feasible,0,0,0.03500247001647949,True,feasible,True,0,0.07890462875366211,True,feasible,True,1,0.08863997459411621,True,feasible,True,True,True,True
NAME          BNL1,873,1173,643,1586,7656,0.007476350767409907,1128,195.47831916809082,False,infeasible,92,92,0.05143165588378906,False,infeasible,True,51,3.7305660247802734,False,infeasible,True,48,4.30172872543335,False,infeasible,True,True,True,True
NAME          SHIP04S,756,1458,402,1506,7190,0.006523032929068594,57,9.276960611343384,False,infeasible,21,21,0.047005653381347656,False,infeasible,True,25,2.204226493835449,False,infeasible,True,25,2.4398672580718994,False,infeasible,True,True,True,True
NAME          WOOD1P,486,2593,244,2595,137923,0.10944549983415304,204,22.257396697998047,False,infeasible,350,350,0.337069034576416,False,infeasible,True,113,15.26308822631836,False,infeasible,True,193,20.402705192565918,False,infeasible,True,True,True,True
NAME          SCTAP2,1090,1410,1090,2500,6244,0.004062723664519487,0,0.0,True,feasible,0,0,0.06939387321472168,True,feasible,True,0,0.11297988891601562,True,feasible,True,1,0.11070942878723145,True,feasible,True,True,True,True
NAME          SHIP04L,756,2118,402,2166,10490,0.006551303765656929,57,9.280678510665894,False,infeasible,21,21,0.07342886924743652,False,infeasible,True,25,2.736440420150757,False,infeasible,True,25,3.3493456840515137,False,infeasible,True,True,True,True
NAME          SCFXM3,1494,1314,990,1800,11234,0.005722534990290945,1140,608.9526362419128,False,infeasible,104,104,0.09826040267944336,False,infeasible,True,178,36.91101551055908,False,infeasible,True,91,19.404318809509277,False,infeasible,True,True,True,True
NAME          25FV47,1318,1552,821,1876,15533,0.007593608716737325,6000,3013.349452018738,False,max_iterations,1023,1023,0.2287764549255371,False,infeasible,True,1453,336.7166500091553,False,infeasible,True,6000,1141.708658695221,False,max_iterations,True,True,True,True
NAME          SCSD8,788,2744,397,2750,17058,0.007888924242648473,6000,1310.1525180339813,False,max_iterations,619,619,0.12498760223388672,True,feasible,False,533,78.85412311553955,True,feasible,False,303,51.2600474357605,True,feasible,False,False,True,True
NAME          SCTAP3,1480,1860,1480,3340,8254,0.0029984016274338856,0,0.0,True,feasible,0,0,0.07809233665466309,True,feasible,True,0,0.18790721893310547,True,feasible,True,1,0.2187819480895996,True,feasible,True,True,True,True
NAME          QAP8,1824,1632,912,1632,14592,0.004901960784313725,0,0.0,True,feasible,0,0,0.09378838539123535,True,feasible,True,0,0.18747544288635254,True,feasible,True,1,0.20310068130493164,True,feasible,True,True,True,True
NAME          SHIP08S,1476,2387,778,2467,11733,0.003330199829019656,85,40.40869998931885,False,infeasible,22,22,0.14120793342590332,False,infeasible,True,19,4.329530477523804,False,infeasible,True,21,5.783839702606201,False,infeasible,True,True,True,True
NAME          DEGEN3,2210,1808,1503,2604,28165,0.007048862771793537,6000,7346.542597055435,False,max_iterations,2168,2168,0.5312747955322266,True,feasible,False,6000,2129.5011796951294,False,max_iterations,True,6000,1914.3864252567291,False,max_iterations,True,False,False,False
NAME          STOCFOR2,3171,1902,2157,3045,12304,0.0020400441567425083,1095,2101.1284217834473,True,feasible,1149,1149,0.2505989074707031,True,feasible,True,1445,550.4180161952972,True,feasible,True,1170,548.8927795886993,True,feasible,True,True,True,True
NAME          SHIP12S,2196,2763,1151,2869,13485,0.0022224793277284332,157,169.2839000225067,False,infeasible,28,28,0.20375323295593262,False,infeasible,True,37,14.411855459213257,False,infeasible,True,25,11.771366357803345,False,infeasible,True,True,True,True
NAME          SHIP08L,1476,4283,778,4363,21213,0.0033555804855270126,85,49.491416692733765,False,infeasible,21,21,0.18749332427978516,False,infeasible,True,19,7.847833871841431,False,infeasible,True,21,10.20658564567566,False,infeasible,True,True,True,True
NAME          SHIP12L,2196,5427,1151,5533,26805,0.002249177105768466,157,210.57400059700012,False,infeasible,28,28,0.3754408359527588,False,infeasible,True,37,27.777987718582153,False,infeasible,True,25,23.3223819732666,False,infeasible,True,True,True,True
NAME          BNL2,3538,3376,2324,4486,20529,0.0017187294881034348,1606,4743.194486141205,False,infeasible,590,590,0.6073801517486572,False,infeasible,True,294,250.14438676834106,False,infeasible,True,24,23.261481046676636,False,infeasible,True,True,True,True
NAME          D2Q06C,2867,4356,2171,5831,43693,0.003498616183716225,6000,12894.9800157547,False,max_iterations,3172,3172,7.535540819168091,False,infeasible,True,209,170.44074320793152,False,infeasible,True,5,5.033090353012085,False,infeasible,True,True,True,True
NAME          WOODW,2015,8237,1098,8418,63041,0.0037982100375627617,385,502.14126563072205,False,infeasible,172,172,0.5161001682281494,False,infeasible,True,30,31.54531979560852,False,infeasible,True,38,49.57630157470703,False,infeasible,True,True,True,True
NAME          TRUSS,1996,8802,1000,8806,55576,0.00316333644339349,6000,10240.41911482811,False,max_iterations,1553,1553,1.0164849758148193,True,feasible,False,3214,5090.961563110352,True,feasible,False,6000,10223.219559192657,False,max_iterations,True,False,True,False
NAME          MAROS-R7,3136,6272,3136,9408,141712,0.007204843034152437,1,0.0,False,infeasible,0,0,0.5859014987945557,False,infeasible,True,0,1.007721185684204,False,infeasible,True,1,1.7866811752319336,False,infeasible,True,True,True,True
NAME          QAP12,6384,8856,3192,8856,76608,0.0013550135501355014,0,0.0,True,feasible,0,0,2.3768467903137207,True,feasible,True,0,3.6556828022003174,True,feasible,True,1,3.677614450454712,True,feasible,True,True,True,True
NAME          QAP15,12660,22275,6330,22275,189900,0.0006734006734006734,0,0.0,False,error,0,0,11.796271085739136,True,feasible,False,-1,8.09944772720337,False,"Unable to allocate 2.10 GiB for an array with shape (12661, 22276) and data type float64",True,-1,5.789701461791992,False,"Unable to allocate 2.10 GiB for an array with shape (12661, 22276) and data type float64",True,False,False,False
